epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1637.7,0.83679,1.84613,1.23921,0.46953,0.57035,0.5567,0.44419,0.71732,2.59704,1.22296,0.000474148,0.000474148,0.000474148
2,3219.77,0.83307,1.30525,1.19785,0.57162,0.56402,0.61299,0.47076,0.72962,2.06789,1.24548,0.000931662,0.000931662,0.000931662
3,4905.37,0.8558,1.16265,1.21179,0.6071,0.59953,0.63873,0.48886,0.73235,1.3568,1.21851,0.00137031,0.00137031,0.00137031
4,6767.57,0.85477,1.07909,1.21521,0.59774,0.5224,0.5908,0.44042,0.8025,1.64861,1.26511,0.00134412,0.00134412,0.00134412
5,8778.07,0.82761,1.03198,1.19258,0.59545,0.62139,0.68408,0.55766,0.6187,1.01475,1.10839,0.00131582,0.00131582,0.00131582
6,10716.8,0.79326,0.97477,1.16604,0.69959,0.67397,0.7368,0.61183,0.59837,1.00141,1.08075,0.00128753,0.00128753,0.00128753
7,12645.3,0.76415,0.9229,1.1568,0.69775,0.59267,0.68475,0.56675,0.60337,0.93572,1.09022,0.00125923,0.00125923,0.00125923
8,14540.4,0.76646,0.90666,1.1567,0.57817,0.68038,0.71761,0.59954,0.5443,1.29067,1.04539,0.00123094,0.00123094,0.00123094
9,16442,0.73319,0.87464,1.14236,0.70915,0.68086,0.75695,0.65277,0.53202,0.86762,1.02497,0.00120265,0.00120265,0.00120265
10,18374.7,0.74314,0.86006,1.12965,0.65523,0.72125,0.73624,0.61984,0.56301,0.96917,1.05605,0.00117435,0.00117435,0.00117435
11,20342.8,0.72414,0.82472,1.12488,0.7712,0.68861,0.78469,0.67637,0.5252,0.80967,1.01663,0.00114606,0.00114606,0.00114606
12,22321.7,0.71215,0.80438,1.12223,0.72882,0.717,0.78458,0.6855,0.51755,0.81099,1.00605,0.00111776,0.00111776,0.00111776
13,24405.1,0.70824,0.79492,1.11197,0.72718,0.67512,0.78746,0.68689,0.49739,0.77821,0.99098,0.00108947,0.00108947,0.00108947
14,26224.5,0.70167,0.78672,1.11368,0.76819,0.7369,0.80044,0.69123,0.50206,0.75706,1.003,0.00106118,0.00106118,0.00106118
15,28200.4,0.68504,0.75071,1.10592,0.67052,0.72047,0.78102,0.67077,0.51634,0.92238,1.01059,0.00103288,0.00103288,0.00103288
