epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.7577,0.8215,1.83506,1.22618,0.56436,0.67675,0.63305,0.48181,0.72819,1.56283,1.28762,0.000474148,0.000474148,0.000474148
2,133.943,0.83335,1.30305,1.20347,0.81621,0.45459,0.64928,0.50601,0.72877,1.53195,1.21573,0.000931662,0.000931662,0.000931662
3,204.373,0.8418,1.14397,1.20136,0.48399,0.51556,0.50798,0.38641,0.8225,1.41764,1.32017,0.00137031,0.00137031,0.00137031
4,277.589,0.83158,1.01846,1.19887,0.59155,0.58309,0.62378,0.48825,0.7286,1.06314,1.2056,0.00134412,0.00134412,0.00134412
5,353.138,0.78513,0.96182,1.16875,0.62266,0.61535,0.68557,0.56252,0.64448,1.07718,1.15476,0.00131582,0.00131582,0.00131582
6,429.762,0.76602,0.92019,1.15931,0.64147,0.70088,0.73449,0.6133,0.60293,0.83242,1.09634,0.00128753,0.00128753,0.00128753
7,505.835,0.75979,0.88894,1.15548,0.68774,0.60646,0.70919,0.58336,0.59998,1.09503,1.09413,0.00125923,0.00125923,0.00125923
8,584.217,0.75163,0.88093,1.14635,0.74967,0.70776,0.78631,0.65556,0.56402,0.78935,1.0513,0.00123094,0.00123094,0.00123094
9,665.247,0.73335,0.81735,1.13931,0.64951,0.73641,0.76156,0.64749,0.54694,0.9007,1.03969,0.00120265,0.00120265,0.00120265
10,743.865,0.71806,0.8021,1.12892,0.65558,0.76485,0.77519,0.65715,0.54238,0.83217,1.03146,0.00117435,0.00117435,0.00117435
11,822.463,0.70389,0.77341,1.1137,0.71914,0.73276,0.79428,0.68026,0.51864,0.74927,1.01735,0.00114606,0.00114606,0.00114606
12,903.662,0.70093,0.77613,1.11839,0.68448,0.6974,0.76687,0.66168,0.52095,0.8213,1.01597,0.00111776,0.00111776,0.00111776
13,982.219,0.69189,0.77285,1.10906,0.69383,0.78229,0.79477,0.69934,0.50046,0.76561,0.99673,0.00108947,0.00108947,0.00108947
14,1063.7,0.68036,0.76114,1.1019,0.7126,0.66242,0.74954,0.64836,0.54051,0.87938,1.02344,0.00106118,0.00106118,0.00106118
15,1144.86,0.67864,0.74163,1.09812,0.75833,0.68299,0.81416,0.71073,0.5136,0.82974,1.00718,0.00103288,0.00103288,0.00103288
16,1223.03,0.67778,0.72298,1.10145,0.80755,0.70344,0.82677,0.71126,0.50274,0.70719,0.98908,0.00100459,0.00100459,0.00100459
17,1304.2,0.67329,0.72473,1.09787,0.82399,0.71952,0.83332,0.7288,0.47039,0.71114,0.96806,0.000976293,0.000976293,0.000976293
18,1379.68,0.64496,0.6984,1.0843,0.77029,0.71615,0.80091,0.7058,0.49745,0.73051,0.9951,0.000947999,0.000947999,0.000947999
19,1461.82,0.65768,0.69852,1.08826,0.82352,0.70985,0.83948,0.74613,0.46764,0.69569,0.96764,0.000919704,0.000919704,0.000919704
20,1540.06,0.64575,0.67731,1.08502,0.76358,0.74322,0.83137,0.73937,0.46949,0.66766,0.96367,0.00089141,0.00089141,0.00089141
21,1618.88,0.63754,0.66569,1.07136,0.80871,0.75299,0.83214,0.7287,0.47646,0.67005,0.97687,0.000863116,0.000863116,0.000863116
22,1697.08,0.64669,0.65473,1.0791,0.77887,0.73878,0.82385,0.72377,0.48061,0.65611,0.98295,0.000834822,0.000834822,0.000834822
